Entry	Base_Accession	Protein_Family	Gene_Name
Q53ZZ1	Q53ZZ1	Tumor necrosis factor family	TNFSF6
Q547U9	Q547U9	Glutamate-gated ion channel (TC 1.A.10.1) family, NR2A/GRIN2A subfamily	NR2A
Q548N1	Q548N1	VPS28 family	VPS28
Q562E7	Q562E7	WD repeat WDR81 family	WDR81
Q562F6	Q562F6	Shugoshin family	SGO2
Q567U6	Q567U6	CCDC93 family	CCDC93
Q569H4	Q569H4	Not available	PRR16
Q569K4	Q569K4	Not available	ZNF385B
Q56A73	Q56A73	SPIN/STSY family	SPIN4
Q56NI9	Q56NI9	Acetyltransferase family, ECO subfamily	ESCO2
Q56P03	Q56P03	Not available	EAPP
Q56P42	Q56P42	Not available	PYDC2
Q56UN5	Q56UN5	Protein kinase superfamily, STE Ser/Thr protein kinase family, STE20 subfamily	MAP3K19
Q56VL3	Q56VL3	Not available	OCIAD2
Q587J8	Q587J8	KHDC1 family	KHDC3L
Q58A45	Q58A45	Protein kinase superfamily, PAN3 family	PAN3
Q58DX5	Q58DX5	Peptidase M28 family, M28B subfamily	NAALADL2
Q58EX2	Q58EX2	Sidekick family	SDK2
Q58EX7	Q58EX7	Not available	PLEKHG4
Q58F21	Q58F21	BET family	BRDT
Q58FF7	Q58FF7	Heat shock protein 90 family	HSP90AB3P
Q58HT5	Q58HT5	Diacylglycerol acyltransferase family	AWAT1
Q58WW2	Q58WW2	Not available	DCAF6
Q59EJ3	Q59EJ3	Heat shock protein 70 family	Not available
Q59EJ8	Q59EJ8	MYST (SAS/MOZ) family	Not available
Q59EK9	Q59EK9	RUNDC3 family	RUNDC3A
Q59EK9-3	Q59EK9	RUNDC3 family	RUNDC3A
Q59EN6	Q59EN6	Acid sphingomyelinase family	Not available
Q59EV6	Q59EV6	Peptidase S10 family	PPGB
Q59FF7	Q59FF7	Eukaryotic diacylglycerol kinase family	Not available
Q59FK4	Q59FK4	Protein kinase superfamily, Tyr protein kinase family	Not available
Q59GW1	Q59GW1	HMGB family	Not available
Q59H18	Q59H18	Protein kinase superfamily, TKL Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily	TNNI3K
Q59HC4	Q59HC4	PI3/PI4-kinase family, Type III PI4K subfamily	Not available
Q59HG2	Q59HG2	Not available	Not available
Q5BJD5	Q5BJD5	TMEM41 family	TMEM41B
Q5BJF2	Q5BJF2	TMEM97/sigma-2 receptor family	TMEM97
Q5BJF6	Q5BJF6	ODF2 family	ODF2
Q5BJH2	Q5BJH2	Not available	TMEM128
Q5BJH2-2	Q5BJH2	Not available	TMEM128
Q5BJH7	Q5BJH7	YIF1 family	YIF1B
Q5BKX5	Q5BKX5	ACTMAP family	ACTMAP
Q5BKX5-3	Q5BKX5	ACTMAP family	ACTMAP
Q5BKX6	Q5BKX6	Glycoside-pentoside-hexuronide (GPH) cation symporter transporter (TC 2.A.2) family	SLC45A4
Q5BKX8	Q5BKX8	CAVIN family	CAVIN4
Q5BKZ1	Q5BKZ1	AKAP95 family	ZNF326
Q5BN46	Q5BN46	PIERCE1 family	PIERCE1
Q5BVD1	Q5BVD1	Not available	TTMP
Q5C9Z4	Q5C9Z4	CWC22 family	NOM1
Q5CZC0	Q5CZC0	Not available	FSIP2
Q5D0E6	Q5D0E6	Not available	DALRD3
Q5D1E8	Q5D1E8	ZC3H12 family	ZC3H12A
Q5D862	Q5D862	S100-fused protein family; S-100 family	FLG2
Q5DID0	Q5DID0	Not available	UMODL1
Q5DX21	Q5DX21	Not available	IGSF11
Q5EB52	Q5EB52	AB hydrolase superfamily	MEST
Q5EBL4	Q5EBL4	RILPL family	RILPL1
Q5EBL8	Q5EBL8	Not available	PDZD11
Q5EBM0	Q5EBM0	Thymidylate kinase family	CMPK2
Q5EE01	Q5EE01	CENP-W/WIP1 family	CENPW
Q5EG05	Q5EG05	Not available	CARD16
Q5F1R6	Q5F1R6	Not available	DNAJC21
Q5FBB7	Q5FBB7	Shugoshin family	SGO1
Q5FVE4	Q5FVE4	ATP-dependent AMP-binding enzyme family, Bubblegum subfamily	ACSBG2
Q5FWF4	Q5FWF4	SNF2/RAD54 helicase family	ZRANB3
Q5FWF5	Q5FWF5	Acetyltransferase family, ECO subfamily	ESCO1
Q5FYB1	Q5FYB1	Sulfatase family	ARSI
Q5GFL6	Q5GFL6	Not available	VWA2
Q5GH72	Q5GH72	XK family	XKR7
Q5GH76	Q5GH76	XK family	XKR4
Q5GLZ8	Q5GLZ8	Not available	HERC4
Q5H8A4	Q5H8A4	PIGG/PIGN/PIGO family, PIGG subfamily	PIGG
Q5H8C1	Q5H8C1	FRAS1 family	FREM1
Q5H9F3	Q5H9F3	BCOR family	BCORL1
Q5H9I0	Q5H9I0	E2F/DP family	TFDP3
Q5H9J7	Q5H9J7	BEX family	BEX5
Q5H9L4	Q5H9L4	TAF7 family	TAF7L
Q5H9R7	Q5H9R7	SAPS family	PPP6R3
Q5H9S7	Q5H9S7	Not available	DCAF17
Q5HYA8	Q5HYA8	Not available	TMEM67
Q5HYI8	Q5HYI8	Small GTPase superfamily, Rab family	RABL3
Q5HYJ3	Q5HYJ3	FAM76 family	FAM76B
Q5HYK3	Q5HYK3	Class I-like SAM-binding methyltransferase superfamily, MenG/UbiE family	COQ5
Q5HYK7	Q5HYK7	Not available	SH3D19
Q5HYN5	Q5HYN5	CT45 family	CT45A1
Q5HYW2	Q5HYW2	NHS family	NHSL2
Q5I7T1	Q5I7T1	ALG10 glucosyltransferase family	ALG10B
Q5IJ48	Q5IJ48	Crumbs protein family	CRB2
Q5J8M3	Q5J8M3	EMC4 family	EMC4
Q5J8X5	Q5J8X5	MS4A family	MS4A13
Q5J9B1	Q5J9B1	Cytochrome P450 family	CYP1A1
Q5JAM2	Q5JAM2	Class-II pyridoxal-phosphate-dependent aminotransferase family	ALAS1
Q5JPB2	Q5JPB2	Not available	ZNF831
Q5JPE7	Q5JPE7	Not available	NOMO2
Q5JPH6	Q5JPH6	Class-I aminoacyl-tRNA synthetase family, Glutamate--tRNA ligase type 1 subfamily	EARS2
Q5JPI9	Q5JPI9	Class I-like SAM-binding methyltransferase superfamily, EFM4 family	EEF1AKMT2
Q5JQC9	Q5JQC9	AKAP110 family	AKAP4
Q5JR59	Q5JR59	MTUS1 family	MTUS2
Q5JR59-3	Q5JR59	MTUS1 family	MTUS2
Q5JR98	Q5JR98	Dynein light chain Tctex-type family	DYNLT4
Q5JRA6	Q5JRA6	MIA/OTOR family, Tango1 subfamily	MIA3
Q5JRX3	Q5JRX3	Peptidase M16 family, PreP subfamily	PITRM1
Q5JS13	Q5JS13	Not available	RALGPS1
Q5JSH3	Q5JSH3	Not available	WDR44
Q5JSL3	Q5JSL3	DOCK family	DOCK11
Q5JSP0	Q5JSP0	Not available	FGD3
Q5JST6	Q5JST6	Not available	EFHC2
Q5JSZ5	Q5JSZ5	Not available	PRRC2B
Q5JT25	Q5JT25	Small GTPase superfamily, Rab family	RAB41
Q5JTC6	Q5JTC6	Amer family	AMER1
Q5JTD0	Q5JTD0	Not available	TJAP1
Q5JTH9	Q5JTH9	RRP12 family	RRP12
Q5JTJ3	Q5JTJ3	Cytochrome c oxidase subunit 6B family	COA6
Q5JTV8	Q5JTV8	TOR1AIP family	TOR1AIP1
Q5JTW2	Q5JTW2	CEP78 family	CEP78
Q5JTY5	Q5JTY5	SIMIBI class G3E GTPase family, ZNG1 subfamily	ZNG1C
Q5JTZ9	Q5JTZ9	Class-II aminoacyl-tRNA synthetase family	AARS2
Q5JU85	Q5JU85	BRAG family	IQSEC2
Q5JUK2	Q5JUK2	Not available	SOHLH1
Q5JUK3	Q5JUK3	Potassium channel family, Calcium-activated (TC 1.A.1.3) subfamily, KCa4.1/KCNT1 sub-subfamily	KCNT1
Q5JVF3	Q5JVF3	CSN12 family	PCID2
Q5JVL4	Q5JVL4	Not available	EFHC1
Q5JVS0	Q5JVS0	SERBP1-HABP4 family	HABP4
Q5JW98	Q5JW98	CALHM family	CALHM4
Q5JWF2	Q5JWF2	G-alpha family, G(s) subfamily	GNAS
Q5JX71	Q5JX71	FAM209 family	FAM209A
Q5JXC2	Q5JXC2	Not available	MIIP
Q5JY77	Q5JY77	GPRASP family	GPRASP1
Q5JZY3	Q5JZY3	Protein kinase superfamily, Tyr protein kinase family, Ephrin receptor subfamily	EPHA10
Q5K4E3	Q5K4E3	Peptidase S1 family	PRSS36
Q5K4L6	Q5K4L6	ATP-dependent AMP-binding enzyme family	SLC27A3
Q5K651	Q5K651	Not available	SAMD9
Q5KSL6	Q5KSL6	Eukaryotic diacylglycerol kinase family	DGKK
Q5KU26	Q5KU26	Not available	COLEC12
Q5M775	Q5M775	Cytospin-A family	SPECC1
Q5M7Z0	Q5M7Z0	Not available	RNFT1
Q5M8T2	Q5M8T2	TPT transporter family, SLC35D subfamily	SLC35D3
Q5M9N0	Q5M9N0	Not available	CCDC158
Q5MIZ7	Q5MIZ7	SMEK family	PPP4R3B
Q5MJ10	Q5MJ10	SPAN-X family	SPANXN2
Q5MJ70	Q5MJ70	Speedy/Ringo family	SPDYA
Q5MNZ6	Q5MNZ6	WD repeat PROPPIN family	WDR45B
Q5MNZ9	Q5MNZ9	WD repeat PROPPIN family	WIPI1
Q5MY95	Q5MY95	GDA1/CD39 NTPase family	ENTPD8
Q5NDL2	Q5NDL2	Glycosyltransferase 61 family	EOGT
Q5NUL3	Q5NUL3	G protein-coupled receptor 1 family	FFAR4
Q5PRF9	Q5PRF9	SMAUG family	SAMD4B
Q5PSV4	Q5PSV4	BRMS1 family	BRMS1L
Q5QGS0	Q5QGS0	Not available	NEXMIF
Q5QGT7	Q5QGT7	TMEM7 family	RTP2
Q5QGZ9	Q5QGZ9	Not available	CLEC12A
Q5QJE6	Q5QJE6	Not available	DNTTIP2
Q5QJU3	Q5QJU3	Alkaline ceramidase family	ACER2
Q5QNW6	Q5QNW6	Histone H2B family	H2BC18
Q5QP82	Q5QP82	WD repeat DCAF10 family	DCAF10
Q5R372	Q5R372	Not available	RABGAP1L
Q5R3F8	Q5R3F8	Not available	ELFN2
Q5R3K3	Q5R3K3	CALHM family	CALHM6
Q5RHP9	Q5RHP9	Not available	ERICH3
Q5RI15	Q5RI15	COX20 family	COX20
Q5RKV6	Q5RKV6	RNase PH family	EXOSC6
Q5RL73	Q5RL73	RBM48 family	RBM48
Q5S007	Q5S007	Protein kinase superfamily, TKL Ser/Thr protein kinase family	LRRK2
Q5SGD2	Q5SGD2	PP2C family	PPM1L
Q5SNT2	Q5SNT2	TMEM201 family	TMEM201
Q5SNT2-2	Q5SNT2	TMEM201 family	TMEM201
Q5SQ64	Q5SQ64	Not available	LY6G6F
Q5SQI0	Q5SQI0	Acetyltransferase ATAT1 family	ATAT1
Q5SQN1	Q5SQN1	SVAP1 family	SNAP47
Q5SQQ9	Q5SQQ9	EMX homeobox family	VAX1
Q5SR56	Q5SR56	SLC71A transporter family	SLC71A2
Q5SRE5	Q5SRE5	Nup188 family	NUP188
Q5SRE7	Q5SRE7	PhyH family, PHYHD1 subfamily	PHYHD1
Q5SRR4	Q5SRR4	Not available	LY6G5C
Q5SSG8	Q5SSG8	Not available	MUC21
Q5SSJ5	Q5SSJ5	Not available	HP1BP3
Q5SSQ6	Q5SSQ6	Not available	SAPCD1
Q5SSZ3	Q5SSZ3	Not available	AGER
Q5ST30	Q5ST30	Class-I aminoacyl-tRNA synthetase family	VARS2
Q5STB3	Q5STB3	Tumor necrosis factor family	TNF
Q5SU16	Q5SU16	Tubulin family	TUBB
Q5SUL5	Q5SUL5	MHC class I family	HLA-A
Q5SVS4	Q5SVS4	Mitochondrial carrier (TC 2.A.29) family	SLC25A30
Q5SW24	Q5SW24	Dapper family	DACT2
Q5SW79	Q5SW79	CEP170 family	CEP170
Q5SW96	Q5SW96	Not available	LDLRAP1
Q5SWA1	Q5SWA1	PPP1R15 family	PPP1R15B
Q5SXH7	Q5SXH7	Not available	PLEKHS1
Q5SXM2	Q5SXM2	Not available	SNAPC4
Q5SXM8	Q5SXM8	Not available	DNLZ
Q5SY16	Q5SY16	Clp1 family, NOL9/GRC3 subfamily	NOL9
Q5SY80	Q5SY80	CATSPERD family	CATSPERE
Q5SYB0	Q5SYB0	Not available	FRMPD1
Q5SYC1	Q5SYC1	Not available	CLVS2
Q5SZK8	Q5SZK8	FRAS1 family	FREM2
Q5SZL2	Q5SZL2	CEP85 family	CEP85L
Q5SZQ8	Q5SZQ8	CELF/BRUNOL family	CELF3
Q5T011	Q5T011	Not available	SZT2
Q5T0F9	Q5T0F9	CC2D1 family	CC2D1B
Q5T0J7	Q5T0J7	Not available	TEX35
Q5T0N1	Q5T0N1	CFAP70 family	CFAP70
Q5T0N5	Q5T0N5	FNBP1 family	FNBP1L
Q5T0T0	Q5T0T0	Not available	MARCHF8
Q5T0V7	Q5T0V7	Not available	DST
Q5T0W9	Q5T0W9	FAM83 family	FAM83B
Q5T124	Q5T124	Not available	UBXN11
Q5T124-6	Q5T124	Not available	UBXN11
Q5T160	Q5T160	Class-I aminoacyl-tRNA synthetase family	RARS2
Q5T197	Q5T197	Not available	DCST1
Q5T1B0	Q5T1B0	Not available	AXDND1
Q5T1C6	Q5T1C6	THEM4/THEM5 thioesterase family	THEM4
Q5T1H1	Q5T1H1	EYS family	EYS
Q5T1M5	Q5T1M5	FKBP-type PPIase family	FKBP15
Q5T1R4	Q5T1R4	Not available	HIVEP3
Q5T1V6	Q5T1V6	DEAD box helicase family, DDX59 subfamily	DDX59
Q5T200	Q5T200	ZC3H13 family	ZC3H13
Q5T230	Q5T230	Not available	UTF1
Q5T280	Q5T280	Class IV-like SAM-binding methyltransferase superfamily	SPOUT1
Q5T2D2	Q5T2D2	Not available	TREML2
Q5T2D3	Q5T2D3	Not available	OTUD3
Q5T2R2	Q5T2R2	FPP/GGPP synthase family	PDSS1
Q5T2S8	Q5T2S8	Not available	ODAD2
Q5T2T1	Q5T2T1	MAGUK family	MPP7
Q5T2W1	Q5T2W1	NHER family	PDZK1
Q5T3F8	Q5T3F8	CSC1 (TC 1.A.17) family	TMEM63B
Q5T3J3	Q5T3J3	LRIF1 family	LRIF1
Q5T3U5	Q5T3U5	ABC transporter superfamily, ABCC family, Conjugate transporter (TC 3.A.1.208) subfamily	ABCC10
Q5T440	Q5T440	GcvT family, CAF17/IBA57 subfamily	IBA57
Q5T442	Q5T442	Connexin family, Gamma-type subfamily	GJC2
Q5T447	Q5T447	Not available	HECTD3
Q5T481	Q5T481	Not available	RBM20
Q5T4B2	Q5T4B2	Glycosyltransferase 25 family	CERCAM
Q5T4D3	Q5T4D3	TMTC family	TMTC4
Q5T4F4	Q5T4F4	Not available	ZFYVE27
Q5T4F7	Q5T4F7	Secreted frizzled-related protein (sFRP) family	SFRP5
Q5T4S7	Q5T4S7	UBR4 family	UBR4
Q5T4T6	Q5T4T6	SYCP2 family	SYCP2L
Q5T4W7	Q5T4W7	TGF-beta family, GDNF subfamily	ARTN
Q5T5A4	Q5T5A4	Not available	CFAP276
Q5T5A8	Q5T5A8	LCE family	LCE3C
Q5T5B0	Q5T5B0	LCE family	LCE3E
Q5T5C0	Q5T5C0	WD repeat L(2)GL family	STXBP5
Q5T5P2	Q5T5P2	Not available	KIAA1217
Q5T5P2-6	Q5T5P2	Not available	KIAA1217
Q5T5U3	Q5T5U3	Not available	ARHGAP21
Q5T5X7	Q5T5X7	Not available	BEND3
Q5T5Y3	Q5T5Y3	CAMSAP1 family	CAMSAP1
Q5T601	Q5T601	G protein-coupled receptor 2 family, Adhesion G protein-coupled receptor (ADGR) subfamily	ADGRF1
Q5T619	Q5T619	Krueppel C2H2-type zinc-finger protein family	ZNF648
Q5T655	Q5T655	CFAP58 family	CFAP58
Q5T686	Q5T686	Not available	AVPI1
Q5T6F0	Q5T6F0	WD repeat DCAF12 family	DCAF12
Q5T6F2	Q5T6F2	Not available	UBAP2
Q5T6L4	Q5T6L4	Argininosuccinate synthase family, Type 1 subfamily	ASS1
Q5T6S3	Q5T6S3	Polycomblike family	PHF19
Q5T6V5	Q5T6V5	QNG1 protein family	QNG1
Q5T6X5	Q5T6X5	G protein-coupled receptor 3 family	GPRC6A
Q5T700	Q5T700	LDLR family	LDLRAD1
Q5T749	Q5T749	Not available	KPRP
Q5T751	Q5T751	LCE family	LCE1C
Q5T752	Q5T752	LCE family	LCE1D
Q5T753	Q5T753	LCE family	LCE1E
Q5T754	Q5T754	LCE family	LCE1F
Q5T7B8	Q5T7B8	TRAFAC class myosin-kinesin ATPase superfamily, Kinesin family	KIF24
Q5T7C4	Q5T7C4	HMGB family	HMGB1
Q5T7M4	Q5T7M4	Adipolin/erythroferrone family	C1QTNF12
Q5T7N3	Q5T7N3	Not available	KANK4
Q5T7P2	Q5T7P2	LCE family	LCE1A
Q5T7P3	Q5T7P3	LCE family	LCE1B
Q5T7P8	Q5T7P8	Synaptotagmin family	SYT6
Q5T7P8-2	Q5T7P8	Synaptotagmin family	SYT6
Q5T7S2	Q5T7S2	Protein kinase superfamily, TKL Ser/Thr protein kinase family, TGFB receptor subfamily	TGFBR1
Q5T7V8	Q5T7V8	GORAB family	GORAB
Q5T7W0	Q5T7W0	Krueppel C2H2-type zinc-finger protein family	ZNF618
Q5T7W7	Q5T7W7	Not available	TSTD2
Q5T848	Q5T848	G protein-coupled receptor 3 family	GPR158
Q5T890	Q5T890	SNF2/RAD54 helicase family	ERCC6L2
Q5T8A7	Q5T8A7	Not available	PPP1R26
Q5T8D3	Q5T8D3	ATG37 family	ACBD5
Q5T8I9	Q5T8I9	Methyltransferase superfamily, HEN1 family	HENMT1
Q5T8P6	Q5T8P6	Not available	RBM26
Q5T9A4	Q5T9A4	AAA ATPase family	ATAD3B
Q5T9B7	Q5T9B7	Adenylate kinase family, AK1 subfamily	AK1
Q5T9C2	Q5T9C2	EEIG family	EEIG1
Q5T9G4	Q5T9G4	Not available	ARMC12
Q5T9L3	Q5T9L3	Wntless family	WLS
Q5TA31	Q5TA31	Not available	RNF187
Q5TA45	Q5TA45	Metallo-beta-lactamase superfamily, RNA-metabolizing metallo-beta-lactamase-like family, INTS11 subfamily	INTS11
Q5TA50	Q5TA50	GLTP family	CPTP
Q5TA76	Q5TA76	LCE family	LCE3A
Q5TA77	Q5TA77	LCE family	LCE3B
Q5TA78	Q5TA78	LCE family	LCE4A
Q5TA79	Q5TA79	LCE family	LCE2A
Q5TA81	Q5TA81	LCE family	LCE2C
Q5TA82	Q5TA82	LCE family	LCE2D
Q5TA89	Q5TA89	Not available	HES5
Q5TAB7	Q5TAB7	Ripply family	RIPPLY2
Q5TAL4	Q5TAL4	U1 small nuclear ribonucleoprotein C family	SNRPC
Q5TAP6	Q5TAP6	UTP14 family	UTP14C
Q5TAQ9	Q5TAQ9	WD repeat DCAF8 family	DCAF8
Q5TAT6	Q5TAT6	Not available	COL13A1
Q5TAX3	Q5TAX3	DNA polymerase type-B-like family	TUT4
Q5TB30	Q5TB30	Not available	DEPDC1
Q5TB80	Q5TB80	CEP162 family	CEP162
Q5TBA9	Q5TBA9	Furry protein family	FRY
Q5TBB1	Q5TBB1	RNase H2 subunit B family	RNASEH2B
Q5TC82	Q5TC82	Not available	RC3H1
Q5TCH4	Q5TCH4	Cytochrome P450 family	CYP4A22
Q5TCM9	Q5TCM9	LCE family	LCE5A
Q5TCQ9	Q5TCQ9	MAGUK family	MAGI3
Q5TCS8	Q5TCS8	Adenylate kinase family	AK9
Q5TCX1	Q5TCX1	Not available	Not available
Q5TCX8	Q5TCX8	Protein kinase superfamily, STE Ser/Thr protein kinase family, MAP kinase kinase kinase subfamily	MAP3K21
Q5TCY1	Q5TCY1	Protein kinase superfamily, CK1 Ser/Thr protein kinase family	TTBK1
Q5TCZ1	Q5TCZ1	SH3PXD2 family	SH3PXD2A
Q5TD94	Q5TD94	Flagellar radial spoke RSP4/6 family	RSPH4A
Q5TD97	Q5TD97	Not available	FHL5
Q5TDH0	Q5TDH0	DDI1 family	DDI2
Q5TEC6	Q5TEC6	Histone H3 family	H3-7
Q5TEJ8	Q5TEJ8	Themis family	THEMIS2
Q5TEU4	Q5TEU4	Methyltransferase superfamily	NDUFAF5
Q5TGU0	Q5TGU0	TspO/BZRP family	TSPO2
Q5TGY3	Q5TGY3	Not available	AHDC1
Q5TGZ0	Q5TGZ0	MICOS complex subunit Mic10 family	MICOS10
Q5THJ4	Q5THJ4	VPS13 family	VPS13D
Q5THR3	Q5THR3	Not available	EFCAB6
Q5TIA1	Q5TIA1	Not available	MEI1
Q5TID7	Q5TID7	CCDC181 family	CCDC181
Q5TKA1	Q5TKA1	Lin-9 family	LIN9
Q5TZA2	Q5TZA2	Rootletin family	CROCC
Q5TZF3	Q5TZF3	Not available	ANKRD45
Q5TZZ9	Q5TZZ9	Annexin family	ANXA1
Q5U071	Q5U071	HMGB family	Not available
Q5U5Q3	Q5U5Q3	Not available	MEX3C
Q5U5X0	Q5U5X0	Complex I LYR family	LYRM7
Q5U5Z8	Q5U5Z8	Peptidase M14 family	AGBL2
Q5U651	Q5U651	Not available	RASIP1
Q5U743	Q5U743	Insulin family	IGF1
Q5UCC4	Q5UCC4	EMC10 family	EMC10
Q5UE93	Q5UE93	Not available	PIK3R6
Q5UIP0	Q5UIP0	RIF1 family	RIF1
Q5VIR6	Q5VIR6	VPS53 family	VPS53
Q5VSL9	Q5VSL9	STRIP family	STRIP1
Q5VST6	Q5VST6	AB hydrolase superfamily, ABHD17 family	ABHD17B
Q5VST9	Q5VST9	Protein kinase superfamily, CAMK Ser/Thr protein kinase family	OBSCN
Q5VSY0	Q5VSY0	GKAP1 family	GKAP1
Q5VT06	Q5VT06	Not available	CEP350
Q5VT25	Q5VT25	Protein kinase superfamily, AGC Ser/Thr protein kinase family, DMPK subfamily	CDC42BPA
Q5VT52	Q5VT52	Not available	RPRD2
Q5VT66	Q5VT66	Not available	MTARC1
Q5VT99	Q5VT99	Not available	LRRC38
Q5VTB9	Q5VTB9	Not available	RNF220
Q5VTD9	Q5VTD9	Not available	GFI1B
Q5VTE6	Q5VTE6	CCR4/nocturin family	ANGEL2
Q5VTJ3	Q5VTJ3	Not available	KLHDC7A
Q5VTR2	Q5VTR2	BRE1 family	RNF20
Q5VTT2	Q5VTT2	Not available	CFAP95
Q5VTT5	Q5VTT5	Not available	MYOM3
Q5VTY9	Q5VTY9	Membrane-bound acyltransferase family, HHAT subfamily	HHAT
Q5VU43	Q5VU43	Not available	PDE4DIP
Q5VU43-11	Q5VU43	Not available	PDE4DIP
Q5VU43-2	Q5VU43	Not available	PDE4DIP
Q5VU57	Q5VU57	Peptidase M14 family	AGBL4
Q5VU62	Q5VU62	Tropomyosin family	TPM3
Q5VUA4	Q5VUA4	Not available	ZNF318
Q5VUB5	Q5VUB5	FAM171 family	FAM171A1
Q5VUG0	Q5VUG0	Not available	SFMBT2
Q5VUM1	Q5VUM1	SDHAF4 family	SDHAF4
Q5VV41	Q5VV41	Not available	ARHGEF16
Q5VV42	Q5VV42	Methylthiotransferase family, CDKAL1 subfamily	CDKAL1
Q5VV43	Q5VV43	Not available	KIAA0319
Q5VV63	Q5VV63	Not available	ATRNL1
Q5VV67	Q5VV67	Not available	PPRC1
Q5VVJ2	Q5VVJ2	Peptidase M67A family, MYSM1 subfamily	MYSM1
Q5VVQ6	Q5VVQ6	Not available	YOD1
Q5VVX9	Q5VVX9	Ubiquitin-conjugating enzyme family	UBE2U
Q5VVY1	Q5VVY1	Methyltransferase superfamily, NTM1 family	NTMT2
Q5VW32	Q5VW32	BROX family	BROX
Q5VW36	Q5VW36	Not available	FOCAD
Q5VW38	Q5VW38	LU7TM family	GPR107
Q5VWC8	Q5VWC8	Very long-chain fatty acids dehydratase HACD family	HACD4
Q5VWG9	Q5VWG9	TAF3 family	TAF3
Q5VWJ9	Q5VWJ9	Sorting nexin family	SNX30
Q5VWK5	Q5VWK5	Type I cytokine receptor family, Type 2 subfamily	IL23R
Q5VWN6	Q5VWN6	TASOR family	TASOR2
Q5VWP2	Q5VWP2	TENT family	TENT5C
Q5VWP3	Q5VWP3	Not available	MLIP
Q5VWQ0	Q5VWQ0	Round spermatid basic protein 1 family	RSBN1
Q5VWQ8	Q5VWQ8	Not available	DAB2IP
Q5VWT5	Q5VWT5	Not available	FYB2
Q5VWX1	Q5VWX1	KHDRBS family	KHDRBS2
Q5VWZ2	Q5VWZ2	AB hydrolase superfamily, AB hydrolase 2 family	LYPLAL1
Q5VX71	Q5VX71	Not available	SUSD4
Q5VXI9	Q5VXI9	AB hydrolase superfamily, Lipase family	LIPN
Q5VXU9	Q5VXU9	XPF family	SHOC1
Q5VY09	Q5VY09	IER family	IER5
Q5VY43	Q5VY43	MEGF family	PEAR1
Q5VY80	Q5VY80	MHC class I family	RAET1L
Q5VYJ5	Q5VYJ5	Not available	MALRD1
Q5VYK3	Q5VYK3	ECM29 family	ECPAS
Q5VYS8	Q5VYS8	DNA polymerase type-B-like family	TUT7
Q5VYS8-5	Q5VYS8	DNA polymerase type-B-like family	TUT7
Q5VYX0	Q5VYX0	Renalase family	RNLS
Q5VYY2	Q5VYY2	AB hydrolase superfamily, Lipase family	LIPM
Q5VZ89	Q5VZ89	Not available	DENND4C
Q5VZE5	Q5VZE5	MAK10 family	NAA35
Q5VZF2	Q5VZF2	Muscleblind family	MBNL2
Q5VZK9	Q5VZK9	CARMIL family	CARMIL1
Q5VZL5	Q5VZL5	Not available	ZMYM4
Q5VZM2	Q5VZM2	GTR/RAG GTP-binding protein family	RRAGB
Q5VZV1	Q5VZV1	Methyltransferase superfamily, METTL21 family	METTL21C
Q5VZX0	Q5VZX0	G-protein coupled receptor 1 family	EDG2
Q5VZY2	Q5VZY2	PA-phosphatase related phosphoesterase family	PLPP4
Q5W041	Q5W041	Not available	ARMC3
Q5W0B1	Q5W0B1	Not available	OBI1
Q5W0Q7	Q5W0Q7	Peptidase C19 family	USPL1
Q5W0Z9	Q5W0Z9	DHHC palmitoyltransferase family	ZDHHC20
Q5W111	Q5W111	Not available	SPRYD7
Q5W5X9	Q5W5X9	Not available	TTC23
Q5W5X9-3	Q5W5X9	Not available	TTC23
Q5XG87	Q5XG87	DNA polymerase type-B-like family	TENT4A
Q5XKE5	Q5XKE5	Intermediate filament family	KRT79
Q5XKL0	Q5XKL0	AlkB family	ALKBH1
Q5XKL5	Q5XKL5	Not available	BTBD8
Q5XKP0	Q5XKP0	MICOS complex subunit Mic13 family	MICOS13
Q5XKR4	Q5XKR4	Paired homeobox family, Bicoid subfamily	OTP
Q5XLA6	Q5XLA6	Not available	CARD17P
Q5XPI4	Q5XPI4	Not available	RNF123
Q5XUX0	Q5XUX0	FBXO31 family	FBXO31
Q5XXA6	Q5XXA6	Anoctamin family	ANO1
Q5ZPR3	Q5ZPR3	Immunoglobulin superfamily, BTN/MOG family	CD276
Q60I27	Q60I27	Not available	ALS2CL
Q63HK5	Q63HK5	Teashirt C2H2-type zinc-finger protein family	TSHZ3
Q63HN8	Q63HN8	AAA ATPase family	RNF213
Q63HQ0	Q63HQ0	Not available	AP1AR
Q63HQ2	Q63HQ2	Not available	EGFLAM
Q63HR2	Q63HR2	PTEN phosphatase protein family	TNS2
Q63ZY3	Q63ZY3	Not available	KANK2
Q63ZY6	Q63ZY6	Class I-like SAM-binding methyltransferase superfamily, RsmB/NOP family	NSUN5P2
Q641Q2	Q641Q2	FAM21 family	WASHC2A
Q643R3	Q643R3	1-acyl-sn-glycerol-3-phosphate acyltransferase family	LPCAT4
Q64LD2	Q64LD2	Not available	WDR25
Q64LD2-2	Q64LD2	Not available	WDR25
Q658P3	Q658P3	STEAP family	STEAP3
Q659A1	Q659A1	ICE2 family	ICE2
Q659C4	Q659C4	LARP family	LARP1B
