Gene ID,Entrez ID,chromosome,start,end,width,strand,transcript_id,bioType,Aliases,p_id,Description
DNLZ,728489,chr9,139256352,139258263,746,-,NM_001080849,protein_coding,C9orf151|HEP|MGC87491|TIMM15|ZIM17|bA413M3.2,P28829,DNL-type zinc finger
DNM1,1759,chr9,130965634,131017527,4660,+,NM_001005336,protein_coding,DNM,P7094,dynamin 1
DNM1L,10059,chr12,32832134,32898584,4654,+,NM_001278464,protein_coding,DLP1|DRP1|DVLP|DYMPLE|DYNIV-11|FLJ41912|HDYNIV|VPS1,P30039,dynamin 1-like
DNM1P35,100128285,chr15,76020011,76032418,3567,-,NR_024595,misc_RNA,DNM1DN8-2|DNM1DN8.2|DNM1DN8@,.,dynamin 1 pseudogene 35
DNM1P41,440299,chr15,85045806,85050249,4444,+,NR_033787,misc_RNA,.,.,dynamin 1 pseudogene 41
DNM1P46,196968,chr15,100330361,100347132,3831,-,NR_003260,misc_RNA,DNM1DN14.2|DNM1DN14@,.,dynamin 1 pseudogene 46
DNM2,1785,chr19,10828729,10942586,4735,+,NM_001005361,protein_coding,CMT2M|CMTDI1|CMTDIB|DI-CMTB|DYN2|DYNII,P28844,dynamin 2
DNM3,26052,chr1,171810618,172381857,8151,+,NM_001136127,protein_coding,KIAA0820|MGC70433,P4,dynamin 3
DNM3-IT1,100874284,chr1,171833332,171833827,391,+,NR_046845,lncRNA,.,.,DNM3 intronic transcript 1
DNM3OS,100628315,chr1,172106019,172113975,4051,-,NR_103486,lncRNA,.,.,DNM3 opposite strand/antisense RNA
DNMBP,23268,chr10,101635334,101769676,6400,-,NM_015221,protein_coding,ARHGEF36|KIAA1010|TUBA,P3032,dynamin binding protein
DNMBP-AS1,100188954,chr10,101686966,101718755,2651,+,NR_024130,lncRNA,.,.,DNMBP antisense RNA 1
DNMT1,1786,chr19,10244022,10305755,5400,-,NM_001379,protein_coding,AIM|CXXC9|DNMT|FLJ16293|MCMT|MGC104992,P3119,DNA (cytosine-5-)-methyltransferase 1
DNMT3A,1788,chr2,25455830,25565459,5935,-,NM_022552,protein_coding,DNMT3A2|M.HsaIIIA,P34294,DNA (cytosine-5-)-methyltransferase 3 alpha
DNMT3B,1789,chr20,31350191,31397162,4630,+,NM_175848,protein_coding,ICF|M.HsaIIIB,P2799,DNA (cytosine-5-)-methyltransferase 3 beta
DNMT3L,29947,chr21,45666222,45682099,1703,-,NM_175867,protein_coding,MGC1090,P9879,DNA (cytosine-5-)-methyltransferase 3-like
DNPEP,23549,chr2,220238180,220252662,2438,-,NM_012100,protein_coding,ASPEP|DAP,P5389,aspartyl aminopeptidase
DNPH1,10591,chr6,43193367,43197211,646,-,NM_006443,protein_coding,.,P13635,2'-deoxynucleoside 5'-phosphate N-hydrolase 1
DNTT,1791,chr10,98064085,98098321,2121,+,NM_001017520,protein_coding,TDT,P6666,DNA nucleotidylexotransferase
DNTTIP1,116092,chr20,44420576,44440066,1290,+,NM_052951,protein_coding,C20orf167|Tdif1|dJ447F3.4,P26865,"deoxynucleotidyltransferase, terminal, interacting protein 1"
DNTTIP2,30836,chr1,94335014,94344762,2722,-,NM_014597,protein_coding,ERBP|FCF2|HSU15552|LPTS-RP2|MGC163494|RP4-561L24.1|TdIF2,P14376,deoxynucleotidyltransferase terminal interacting protein 2
DOC2A,8448,chr16,30016835,30024917,2327,-,NR_104090,protein_coding,Doc2,.,double C2 domain alpha
DOC2B,8447,chr17,6011,31421,1074,-,NM_003585,protein_coding,DOC2BL,P17659,double C2 domain beta
DOC2GP,390213,chr11,67380995,67383135,434,-,NR_033791,misc_RNA,.,.,double C2 domain gamma pseudogene
DOCK1,1793,chr10,128593978,129250781,6940,+,NM_001380,protein_coding,DOCK180|ced5,P24091,dedicator of cytokinesis 1
DOCK10,55619,chr2,225629807,225907330,7650,-,NM_014689,protein_coding,DKFZp781A1532|DRIP2|Nbla10300|ZIZ3,P13553,dedicator of cytokinesis 10
DOCK11,139818,chrX,117629872,117820123,6638,+,NM_144658,protein_coding,ACG|FLJ32122|FLJ43653|ZIZ2|bB128O4.1,P3810,dedicator of cytokinesis 11
DOCK2,1794,chr5,169064251,169510386,6097,+,NM_004946,protein_coding,FLJ46592|KIAA0209,P19616,dedicator of cytokinesis 2
DOCK3,1795,chr3,50712672,51421629,8755,+,NM_004947,protein_coding,KIAA0299|MOCA|PBP,P12437,dedicator of cytokinesis 3
DOCK4,9732,chr7,111366164,111846462,8336,-,NM_014705,protein_coding,FLJ34238|KIAA0716|MGC134911|MGC134912,P32413,dedicator of cytokinesis 4
DOCK4-AS1,100506413,chr7,111448561,111461835,2511,+,NR_103806,lncRNA,.,.,DOCK4 antisense RNA 1
DOCK5,80005,chr8,25042287,25270619,7555,+,NM_024940,protein_coding,DKFZp451J181|DKFZp779M164|DKFZp781J211,P34449,dedicator of cytokinesis 5
DOCK6,57572,chr19,11309969,11373168,6400,-,NM_020812,protein_coding,ZIR1,P25109,dedicator of cytokinesis 6
DOCK7,85440,chr1,62920397,63154039,8125,-,NM_001272000,protein_coding,KIAA1771|ZIR2,P22256,dedicator of cytokinesis 7
DOCK8,81704,chr9,214865,465259,7505,+,NM_203447,protein_coding,FLJ00026|FLJ00152|FLJ00346|MRD2|ZIR8,P23663,dedicator of cytokinesis 8
DOCK9,23348,chr13,99445741,99738660,8165,-,NM_015296,protein_coding,DKFZp686C11110|DKFZp686D2047|DKFZp686N04132|FLJ11949|FLJ16744|FLJ44528|FLJ45282|FLJ45601|KIAA1058|KIAA1085|ZIZ1|ZIZIMIN1,P19128,dedicator of cytokinesis 9
DOCK9-AS1,100874096,chr13,99484338,99486883,392,+,NR_046663,lncRNA,.,.,DOCK9 antisense RNA 1
DOCK9-AS2,100861541,chr13,99738977,99740879,1903,+,NR_047482,lncRNA,.,.,DOCK9 antisense RNA 2 (head to head)
DOHH,83475,chr19,3490819,3500938,2123,-,NM_031304,protein_coding,HLRC1|MGC4293|hDOHH,P12831,deoxyhypusine hydroxylase/monooxygenase
DOK1,1796,chr2,74776147,74784678,2406,+,NM_001197260,protein_coding,MGC117395|MGC138860|P62DOK,P35583,docking protein 1
DOK2,9046,chr8,21766384,21771205,1770,-,NM_003974,protein_coding,p56DOK|p56dok-2,P29120,docking protein 2
DOK3,79930,chr5,176928906,176937427,3679,-,NM_001144875,protein_coding,DOKL|FLJ22570|FLJ39939,P8104,docking protein 3
DOK4,55715,chr16,57505870,57520385,2750,-,NM_018110,protein_coding,FLJ10488,P8562,docking protein 4
DOK5,55816,chr20,53092011,53267710,2630,+,NM_018431,protein_coding,C20orf180|MGC16926,P23730,docking protein 5
DOK6,220164,chr18,67068284,67516322,8896,+,NM_152721,protein_coding,DOK5L|HsT3226|MGC20785,P20387,docking protein 6
DOK7,285489,chr4,3465033,3503200,2834,+,NM_001301071,protein_coding,C4orf25|CMS1B|FLJ33718|FLJ39137|FLJ90556,P3846,docking protein 7
DOLK,22845,chr9,131707809,131710012,2204,-,NM_014908,protein_coding,CDG1M|DK|DK1|KIAA1094|SEC59|TMEM15,P24143,dolichol kinase
DOLPP1,57171,chr9,131843383,131852717,2176,+,NM_001135917,protein_coding,LSFR2,P29553,dolichyldiphosphatase 1
DONSON,29980,chr21,34949859,34961014,2522,-,NM_017613,protein_coding,B17|C21orf60|C2TA|DKFZp434M035,P12396,downstream neighbor of SON
DOPEY1,23033,chr6,83777385,83878190,8105,+,NM_015018,protein_coding,FLJ35610|KIAA1117|dJ202D23.2,P15358,dopey family member 1
DOPEY2,9980,chr21,37536839,37666572,7679,+,NM_005128,protein_coding,21orf5|C21orf5,P15471,dopey family member 2
DOT1L,84444,chr19,2164148,2232577,7436,+,NM_032482,protein_coding,DKFZp586P1823|DOT1|KIAA1814|KMT4,P15604,DOT1 like histone H3K79 methyltransferase
DPAGT1,1798,chr11,118967213,118972785,2142,-,NM_001382,protein_coding,ALG7|CDG-Ij|CDG1J|D11S366|DGPT|DPAGT|DPAGT2|G1PT|GPT|UAGT|UGAT,P13981,dolichyl-phosphate N-acetylglucosaminephosphotransferase 1
DPCD,25911,chr10,103348089,103369410,799,+,NM_015448,protein_coding,DKFZp566F084,P9556,deleted in primary ciliary dyskinesia homolog (mouse)
DPCR1,135656,chr6,30908777,30921998,5286,+,NM_080870,protein_coding,MGC126710|MGC126712|PBLT,P11159,diffuse panbronchiolitis critical region 1
DPEP1,1800,chr16,89679716,89704839,1833,+,NM_001128141,protein_coding,MBD1|MDP|RDP,P6964,dipeptidase 1 (renal)
DPEP2,64174,chr16,68021293,68033421,1766,-,NM_022355,protein_coding,MBD2,P13227,dipeptidase 2
DPEP3,64180,chr16,68009566,68014452,1735,-,NM_001129758,protein_coding,MBD3,P7859,dipeptidase 3
DPF1,8193,chr19,38701646,38720354,2480,-,NM_001135156,protein_coding,BAF45b|MGC150428|MGC150429|NEUD4|neuro-d4,P9700,double PHD fingers 1
DPF2,5977,chr11,65101225,65120451,2530,+,NM_006268,protein_coding,MGC10180|REQ|UBID4|ubi-d4,P5108,double PHD fingers 2
DPF3,8110,chr14,73086004,73360824,4991,-,NM_001280542,protein_coding,CERD4|FLJ14079,P35882,double PHD fingers 3
DPH1,1801,chr17,1933431,1945169,1368,+,NM_001383,protein_coding,DPH2L|DPH2L1|FLJ33211|OVCA1,P33634,diphthamide biosynthesis 1
DPH2,1802,chr1,44435653,44439043,2497,+,NM_001384,protein_coding,DPH2L2,P25574,DPH2 homolog
DPH3,285381,chr3,16298568,16306496,4065,-,NM_001047434,protein_coding,DELGIP|DELGIP1|DESR1|DPH3A|KTI11|MGC20197|ZCSL2,P16284,diphthamide biosynthesis 3
DPH3P1,100132911,chr20,61475918,61477543,1626,+,NM_080750,protein_coding,C20orf143|DPH3B|ZCSL1|dJ885L7.5,P34025,diphthamide biosynthesis 3 pseudogene 1
DPH5,51611,chr1,101455180,101491362,1928,-,NM_001077395,protein_coding,CGI-30|HSPC143|MGC61450|NPD015,P268,diphthamide biosynthesis 5
DPH6,89978,chr15,35663170,35838404,4053,-,NM_080650,protein_coding,.,P183,diphthamine biosynthesis 6
DPH6-AS1,100507466,chr15,35838396,36151202,1477,+,NR_038251,lncRNA,.,.,DPH6 antisense RNA 1 (head to head)
DPH7,92715,chr9,140449359,140473387,1849,-,NM_138778,protein_coding,.,P16625,diphthamide biosynthesis 7
DPM1,8813,chr20,49551405,49575060,1047,-,NM_003859,protein_coding,CDGIE|MPDS,P27996,"dolichyl-phosphate mannosyltransferase polypeptide 1, catalytic subunit"
DPM2,8818,chr9,130697374,130700763,1546,-,NM_003863,protein_coding,FLJ80013|MGC111193|MGC21559,P18686,"dolichyl-phosphate mannosyltransferase polypeptide 2, regulatory subunit"
DPM3,54344,chr1,155112367,155112996,385,-,NM_153741,protein_coding,CDG1O|MGC125904|MGC125905|MGC34275,P7797,dolichyl-phosphate mannosyltransferase subunit 3
DPP10,57628,chr2,115199899,116602311,6203,+,NM_020868,protein_coding,DPL2|DPPY|DPRP3,P17418,dipeptidyl peptidase like 10
DPP10-AS1,389023,chr2,115901625,115918920,730,-,NR_036580,lncRNA,.,.,DPP10 antisense RNA 1
DPP10-AS3,101927591,chr2,115585918,115591125,756,-,NR_132105,lncRNA,.,.,DPP10 antisense RNA 3
DPP3,10072,chr11,66247484,66277130,3358,+,NM_001256670,protein_coding,DPPIII|FLJ11387|FLJ22331,P26499,dipeptidyl peptidase 3
DPP4,1803,chr2,162848755,162931052,3900,-,NM_001935,protein_coding,ADABP|ADCP2|CD26|DPPIV|TP103,P24242,dipeptidyl peptidase 4
DPP6,1804,chr7,153584182,154686000,6770,+,NM_001039350,protein_coding,DPPX|FLJ55680|MGC46605|VF2,P14847,dipeptidyl peptidase like 6
DPP7,29952,chr9,140004992,140009195,1617,-,NM_013379,protein_coding,DPP2|DPPII|QPP,P5834,dipeptidyl peptidase 7
DPP8,54878,chr15,65737998,65810035,4298,-,NM_197961,protein_coding,DP8|DPRP1|FLJ14920|FLJ20283|MGC26191|MSTP141,P26628,dipeptidyl peptidase 8
DPP9,91039,chr19,4675244,4723855,4269,-,NM_139159,protein_coding,DKFZp762F117|DPRP2|FLJ16073,P32587,dipeptidyl peptidase 9
DPP9-AS1,100131094,chr19,4679294,4685960,3071,+,NM_001242901,protein_coding,.,P30582,DPP9 antisense RNA 1
DPPA2,151871,chr3,109012635,109035364,1383,-,NM_138815,protein_coding,CT100|PESCRG1,P11000,developmental pluripotency associated 2
DPPA2P3,100128023,chr3,193710883,193712027,1145,-,NR_027764,misc_RNA,.,.,developmental pluripotency associated 2 pseudogene 3
DPPA3,359787,chr12,7864050,7870152,1076,+,NM_199286,protein_coding,STELLA,P17228,developmental pluripotency associated 3
DPPA4,55211,chr3,109044988,109056419,2817,-,NM_018189,protein_coding,2410091M23Rik|FLJ10713,P20871,developmental pluripotency associated 4
DPPA5,340168,chr6,74062785,74063999,660,-,NM_001025290,protein_coding,Esg1,P33645,developmental pluripotency associated 5
DPRX,503834,chr19,54135310,54140263,648,+,NM_001012728,protein_coding,.,P21335,divergent-paired related homeobox
DPRXP4,503645,chr17,29302353,29303017,665,+,NR_002221,misc_RNA,.,.,divergent-paired related homeobox pseudogene 4
DPT,1805,chr1,168664695,168698442,1728,-,NM_001937,protein_coding,TRAMP,P25476,dermatopontin
DPY19L1,23333,chr7,34968493,35077653,4865,-,NM_015283,protein_coding,KIAA0877,P25237,dpy-19 like 1 (C. elegans)
DPY19L1P1,100129460,chr7,32620553,32758780,1901,-,NR_036680,misc_RNA,FLJ23115,.,DPY19L1 pseudogene 1
DPY19L2,283417,chr12,63952693,64062354,4057,-,NM_173812,protein_coding,FLJ32949|FLJ36166,P3980,dpy-19 like 2
DPY19L2P1,554236,chr7,35120899,35225774,2814,-,NR_002833,misc_RNA,.,.,DPY19L2 pseudogene 1
DPY19L2P2,349152,chr7,102815462,102920759,4213,-,NR_003561,misc_RNA,DKFZp434E092|DKFZp586E1120|DKFZp779M0267|FLJ36166,.,DPY19L2 pseudogene 2
DPY19L2P3,442524,chr7,29724770,29727859,1677,+,NR_036482,misc_RNA,.,.,DPY19L2 pseudogene 3
DPY19L2P4,442523,chr7,89748714,89754914,2018,+,NR_003551,misc_RNA,DKFZp686L2199|FLJ25893|MGC39769|MGC48509,.,DPY19L2 pseudogene 4
DPY19L3,147991,chr19,32896655,32976799,6189,+,NM_001172774,protein_coding,DKFZp686J17135|MGC35440,P6143,dpy-19 like 3 (C. elegans)
DPY19L4,286148,chr8,95732103,95806076,6234,+,NM_181787,protein_coding,MGC131885,P17600,dpy-19 like 4 (C. elegans)
DPY30,84661,chr2,32248972,32264844,800,-,NM_032574,protein_coding,HDPY-30|Saf19,P30530,"dpy-30, histone methyltransferase complex regulatory subunit"
DPYD,1806,chr1,97543300,98386615,5616,-,NM_000110,protein_coding,DHP|DHPDHASE|DPD|MGC132008|MGC70799,P23798,dihydropyrimidine dehydrogenase
DPYD-AS1,100873932,chr1,97561479,97788511,533,+,NR_046590,lncRNA,.,.,DPYD antisense RNA 1
DPYD-AS2,100873933,chr1,98262477,98263607,817,+,NR_046591,lncRNA,.,.,DPYD antisense RNA 2
DPYS,1807,chr8,105391652,105479277,2123,-,NM_001385,protein_coding,DHP|DHPase,P15926,dihydropyrimidinase
DPYSL2,1808,chr8,26371709,26515693,5237,+,NM_001197293,protein_coding,CRMP2|DHPRP2|DRP-2|DRP2,P8905,dihydropyrimidinase like 2
DPYSL3,1809,chr5,146770371,146889619,5629,-,NM_001197294,protein_coding,CRMP-4|CRMP4|DRP-3|DRP3|LCRMP|ULIP|ULIP-1,P8927,dihydropyrimidinase like 3
DPYSL4,10570,chr10,134000414,134019280,2719,+,NM_006426,protein_coding,CRMP3|DRP-4|ULIP4,P903,dihydropyrimidinase like 4
DPYSL5,56896,chr2,27070969,27173219,5354,+,NM_020134,protein_coding,CRAM|CRMP-5|CRMP5|FLJ45383|Ulip6,P26992,dihydropyrimidinase like 5
DQX1,165545,chr2,74745258,74753408,2634,-,NM_133637,protein_coding,FLJ23757,P27392,DEAQ-box RNA dependent ATPase 1
DR1,1810,chr1,93811478,93828148,3208,+,NM_001938,protein_coding,NC2|NC2-BETA,P248,down-regulator of transcription 1
DRAIC,145837,chr15,69854059,69863779,1705,+,NR_026979,lncRNA,.,.,"downregulated RNA in cancer, inhibitor of cell invasion and migration"
DRAM1,55332,chr12,102271105,102317401,3543,+,NM_018370,protein_coding,DRAM|FLJ11259,P23273,DNA damage regulated autophagy modulator 1
DRAM2,128338,chr1,111659954,111682838,1886,-,NM_178454,protein_coding,MGC54289|PRO180|RP5-1180E21.1|TMEM77|WWFQ154,P31598,DNA damage regulated autophagy modulator 2
DRAP1,10589,chr11,65686728,65689048,1005,+,NM_006442,protein_coding,NC2-alpha,P3697,DR1 associated protein 1
DRAXIN,374946,chr1,11751781,11780336,1773,+,NM_198545,protein_coding,.,P21139,dorsal inhibitory axon guidance protein
DRC1,92749,chr2,26624784,26679579,2491,+,NM_145038,protein_coding,.,P14317,dynein regulatory complex subunit 1
DRC7,84229,chr16,57728713,57765367,3042,+,NM_001289163,protein_coding,.,P21668,dynein regulatory complex subunit 7
DRD1,1812,chr5,174867675,174871163,3373,-,NM_000794,protein_coding,DADR|DRD1A,P28778,dopamine receptor D1
DRD2,1813,chr11,113280317,113346001,2699,-,NM_000795,protein_coding,D2DR|D2R,P1553,dopamine receptor D2
DRD3,1814,chr3,113847499,113918254,1726,-,NM_033663,protein_coding,D3DR|ETM1|FET1|MGC149204|MGC149205,P8342,dopamine receptor D3
DRD4,1815,chr11,637305,640705,1362,+,NM_000797,protein_coding,D4DR,P19733,dopamine receptor D4
DRD5,1816,chr4,9783258,9785633,2376,+,NM_000798,protein_coding,DBDR|DRD1B|DRD1L2|MGC10601,P14369,dopamine receptor D5
DRG1,4733,chr22,31795539,31830172,1450,+,NM_004147,protein_coding,DKFZp434N1827|NEDD3,P25557,developmentally regulated GTP binding protein 1
DRG2,1819,chr17,17991181,18011299,1997,+,NM_001388,protein_coding,.,P34375,developmentally regulated GTP binding protein 2
DRGX,644168,chr10,50574161,50604062,955,-,NM_001276451,protein_coding,DRG11|PRRXL1,P29973,dorsal root ganglia homeobox
DRICH1,51233,chr22,23950639,23974508,1300,-,NM_016449,protein_coding,.,P3775,aspartate-rich 1
DROSHA,29102,chr5,31400602,31532282,5497,-,NM_013235,protein_coding,.,P14647,drosha ribonuclease III
DRP2,1821,chrX,100474933,100519485,7118,+,NM_001939,protein_coding,MGC133255,P24146,dystrophin related protein 2
DSC1,1823,chr18,28709214,28742819,4256,-,NM_024421,protein_coding,CDHF1|DG2/DG3,P3236,desmocollin 1
DSC2,1824,chr18,28645940,28682395,5254,-,NM_024422,protein_coding,ARVD11|CDHF2|DG2|DGII/III|DKFZp686I11137|DSC3,P24990,desmocollin 2
DSC3,1825,chr18,28569331,28622781,7699,-,NM_024423,protein_coding,CDHF3|DSC|DSC1|DSC2|DSC4|HT-CP,P3590,desmocollin 3
DSCAM,1826,chr21,41384343,42219039,7155,-,NM_001271534,protein_coding,CHD2-42|CHD2-52,P8171,Down syndrome cell adhesion molecule
DSCAM-AS1,100506492,chr21,41755010,41757285,2044,+,NR_038896,lncRNA,.,.,DSCAM antisense RNA 1
DSCAM-IT1,100874326,chr21,41990433,42002693,720,-,NR_046774,lncRNA,.,.,DSCAM intronic transcript 1
DSCAML1,57453,chr11,117298488,117667976,6900,-,NM_020693,protein_coding,KIAA1132,P22268,Down syndrome cell adhesion molecule like 1
DSCAS,101927698,chr18,28681551,28742752,553,+,NR_110785,lncRNA,.,.,DSC1/DSC2 antisense RNA
DSCC1,79075,chr8,120846181,120868170,2269,-,NM_024094,protein_coding,DCC1|MGC5528,P14946,DNA replication and sister chromatid cohesion 1
DSCR10,259234,chr21,39578250,39580738,860,+,NR_027695,lncRNA,.,.,Down syndrome critical region 10 (non-protein coding)
DSCR3,10311,chr21,38595726,38639833,3251,-,NM_006052,protein_coding,DCRA|DSCRA|MGC117385,P4667,DSCR3 arrestin fold containing
DSCR4,10281,chr21,39426313,39493454,1098,-,NM_005867,protein_coding,DCRB|DSCRB,P31111,Down syndrome critical region 4
DSCR8,84677,chr21,39493545,39528605,671,+,NR_026842,lncRNA,C21orf65|CT25.1a|CT25.1b|MMA-1|MMA-1a|MMA-1b|MMA1|MTAG2,.,Down syndrome critical region 8
DSCR9,257203,chr21,38580804,38594037,1644,+,NR_026719,lncRNA,NCRNA00038,.,Down syndrome critical region 9 (non-protein coding)
DSE,29940,chr6,116601283,116759442,4180,+,NM_001080976,protein_coding,DSEPI|SART2,P34743,dermatan sulfate epimerase
DSEL,92126,chr18,65173819,65183967,9281,-,NM_032160,protein_coding,C18orf4,P13120,dermatan sulfate epimerase-like
DSG1,1828,chr18,28898052,28939209,7262,+,NM_001942,protein_coding,CDHF4|DG1|DSG|PPKS1|SPPK1,P31330,desmoglein 1
DSG1-AS1,101927718,chr18,28923331,29006951,767,-,NR_110789,lncRNA,.,.,DSG1 antisense RNA 1
DSG2,1829,chr18,29078027,29128814,5653,+,NM_001943,protein_coding,ARVC10|ARVD10|CDHF5|CMD1BB|HDGC|MGC117034|MGC117036|MGC117037,P11039,desmoglein 2
DSG2-AS1,100652770,chr18,29122109,29136874,1986,-,NR_045216,lncRNA,.,.,DSG2 antisense RNA 1
DSG3,1830,chr18,29027732,29058665,5551,+,NM_001944,protein_coding,CDHF6|DKFZp686P23184|PVA,P33355,desmoglein 3
DSG4,147409,chr18,28956740,28991411,2829,+,NM_177986,protein_coding,CDGF13|CDHF13|LAH,P15882,desmoglein 4
DSN1,79980,chr20,35380194,35402230,2878,-,NM_001145317,protein_coding,C20orf172|FLJ13346|KNL3|MGC32987|MIS13|dJ469A13.2|hKNL-3,P10404,"DSN1 homolog, MIS12 kinetochore complex component"
DSP,1832,chr6,7541870,7586946,7933,+,NM_001008844,protein_coding,DP|DPI|DPII,P3849,desmoplakin
DSPP,1834,chr4,88529681,88538025,4331,+,NM_014208,protein_coding,DFNA39|DGI1|DMP3|DPP|DSP|DTDP2,P33623,dentin sialophosphoprotein
DST,667,chr6,56322785,56819426,24599,-,NM_001144769,protein_coding,BP240|BPA|BPAG1|CATX-15|CATX15|D6S1101|DKFZp564B2416|DMH|DT|FLJ46791|KIAA0465|KIAA1470|MACF2,P13421,dystonin
DSTN,11034,chr20,17550599,17588652,1746,+,NM_006870,protein_coding,ACTDP|ADF|bA462D18.2,P18259,"destrin, actin depolymerizing factor"
DSTNP2,171220,chr12,6993846,6994950,1105,+,NR_033796,misc_RNA,.,.,destrin (actin depolymerizing factor) pseudogene 2
DSTYK,25778,chr1,205111631,205180727,7909,-,NM_199462,protein_coding,DustyPK|KIAA0472|RIP5|RIPK5,P23934,dual serine/threonine and tyrosine protein kinase
DTD1,92675,chr20,18568556,18744560,1367,+,NM_080820,protein_coding,C20orf88|DUEB|HARS2|MGC119131|MGC41905|bA379J5.3|bA555E18.1|pqn-68,P17082,D-tyrosyl-tRNA deacylase 1
DTD2,112487,chr14,31915243,31926680,2680,-,NM_080664,protein_coding,.,P16830,D-tyrosyl-tRNA deacylase 2 (putative)
DTHD1,401124,chr4,36283237,36346407,3780,+,NM_001136536,protein_coding,FLJ16686|FLJ37365,P20152,death domain containing 1
DTL,51514,chr1,212208895,212278348,4597,+,NM_001286230,protein_coding,CDT2|DCAF2|L2DTL|RAMP,P26225,denticleless E3 ubiquitin protein ligase homolog
DTNA,1837,chr18,32073254,32471808,10116,+,NM_001198945,protein_coding,D18S892E|DRP3|DTN|DTN-A|FLJ96209|LVNC1,P33172,dystrobrevin alpha
DTNB,1838,chr2,25600067,25896516,3043,-,NM_001256308,protein_coding,MGC17163|MGC57126,P1119,dystrobrevin beta
DTNBP1,84062,chr6,15523032,15663289,3070,-,NM_032122,protein_coding,DBND|DKFZp564K192|FLJ30031|HPS7|MGC20210|My031|SDY,P26882,dystrobrevin binding protein 1
DTWD1,56986,chr15,49913226,49937333,2750,+,NM_020234,protein_coding,MGC111207,P27194,DTW domain containing 1
DTWD2,285605,chr5,118171769,118324300,5925,-,NM_173666,protein_coding,FLJ33977|MGC138579|MGC138580,P26674,DTW domain containing 2
DTX1,1840,chr12,113495662,113535833,3288,+,NM_004416,protein_coding,hDx-1,P14631,deltex 1
DTX2,113878,chr7,76090972,76135312,3087,+,NM_001102594,protein_coding,KIAA1528|MGC71098|RNF58,P5303,"deltex 2, E3 ubiquitin ligase"
DTX2P1-UPK3BP1-PMS2P11,441263,chr7,76610139,76653076,1761,+,NR_023383,misc_RNA,.,.,"DTX2P1-UPK3BP1-PMS2P11 readthrough, transcribed pseudogene"
DTX3,196403,chr12,57998405,58003587,2962,+,NM_001286245,protein_coding,FLJ34766|MGC138863|MGC138864|RNF154,P2227,"deltex 3, E3 ubiquitin ligase"
DTX3L,151636,chr3,122283185,122294049,5767,+,NM_138287,protein_coding,BBAP,P2217,"deltex 3 like, E3 ubiquitin ligase"
DTX4,23220,chr11,58938903,58976060,5854,+,NM_001300727,protein_coding,KIAA0937|MGC141899|RNF155,P19980,"deltex 4, E3 ubiquitin ligase"
DTYMK,1841,chr2,242615157,242626383,1137,-,NM_001165031,protein_coding,CDC8|FLJ44192|MGC198617|PP3731|TMPK|TYMK,P8235,deoxythymidylate kinase
DUOX1,53905,chr15,45422192,45457776,5679,+,NM_017434,protein_coding,LNOX1|MGC138840|MGC138841|NOXEF1|THOX1,P7842,dual oxidase 1
